title,reference_number,solicitation_number,contract_number,publishing_status,award_date,publication_date,gsin,contract_award_procedure,tendering_procedure,customer_info,supplier_info,currency,contract_value
"Small Craft Harbours Require Construction Services for the construction of a new launch way facility at Tracadie Harbour, Prince Edward Island for Project No. 721672 (FP802-150163)",PW-15-00703658,FP802-150163,FP802-150163,Active,2015-11-02,2015-11-03,5129B - Construction of Other Buildings,,Open,"Chau, Grace 613-993-8935 200 Kent Street Ottawa  ON K1A 0E6 CA",Invitation to Tender FP802-150163 has been cancelled.,,
"LEOPARD 2, SPARE PARTS (W8486-151908/09-GRK10)",PW-15-00708348,GRK(W8486-151908/000/A),W8486-151908/09-GRK10,Active,2015-10-05,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2540 - Vehicular Furniture and Accessories, N2990 - Engine Accessories, Miscellaneous, Non-Aircraft, N3010 - Torque Converters and Speed Changers, N3040 - Power Transmission Equipment, Miscellaneous, N4720 - Hose and Flexible Tubing, N5120 - Hand Tools, Nonedged, Nonpowered, N5140 - Tools and Hardware Boxes, N5180 - Sets, Kits, and Outfits of Hand Tools, N5305 - Screws, N5310 - Nuts and Washers, N5315 - Nails, Keys and Pins, N5330 - Packing and Gasket Material, N5340 - Hardware, Commercial, N5360 - Coil, Flat and Wire Springs, N6110 - Electrical Control Equipment, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6230 - Electric Portable and Hand Lighting Equipment, N6650 - Optical Instruments, Test Equipment, Components and Accessories",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",Schu & Schneider GmbH Weimarer Str. 10 66606 St. Wendel Germany,,
"LEOPARD 2, SPARE PARTS (W8486-151908/08-GRK10)",PW-15-00708347,GRK(W8486-151908/000/A),W8486-151908/08-GRK10,Active,2015-10-05,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2540 - Vehicular Furniture and Accessories, N2990 - Engine Accessories, Miscellaneous, Non-Aircraft, N3010 - Torque Converters and Speed Changers, N3040 - Power Transmission Equipment, Miscellaneous, N4720 - Hose and Flexible Tubing, N5120 - Hand Tools, Nonedged, Nonpowered, N5140 - Tools and Hardware Boxes, N5180 - Sets, Kits, and Outfits of Hand Tools, N5305 - Screws, N5310 - Nuts and Washers, N5315 - Nails, Keys and Pins, N5330 - Packing and Gasket Material, N5340 - Hardware, Commercial, N5360 - Coil, Flat and Wire Springs, N6110 - Electrical Control Equipment, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6230 - Electric Portable and Hand Lighting Equipment, N6650 - Optical Instruments, Test Equipment, Components and Accessories",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",G. Langkopf Maschinenbau Postfach 25 01 64 40093 Düsseldorf Germany,,
"LEOPARD 2, SPARE PARTS (W8486-151908/07-GRK10)",PW-15-00708346,GRK(W8486-151908/000/A),W8486-151908/07-GRK10,Active,2015-10-05,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2540 - Vehicular Furniture and Accessories, N2990 - Engine Accessories, Miscellaneous, Non-Aircraft, N3010 - Torque Converters and Speed Changers, N3040 - Power Transmission Equipment, Miscellaneous, N4720 - Hose and Flexible Tubing, N5120 - Hand Tools, Nonedged, Nonpowered, N5140 - Tools and Hardware Boxes, N5180 - Sets, Kits, and Outfits of Hand Tools, N5305 - Screws, N5310 - Nuts and Washers, N5315 - Nails, Keys and Pins, N5330 - Packing and Gasket Material, N5340 - Hardware, Commercial, N5360 - Coil, Flat and Wire Springs, N6110 - Electrical Control Equipment, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6230 - Electric Portable and Hand Lighting Equipment, N6650 - Optical Instruments, Test Equipment, Components and Accessories",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",Krauss-Maffei Wegmann GmbH & Co. KG Krauss-Maffei-Straße 11 80997 München Germany,,
"LEOPARD 2, SPARE PARTS (W8486-151908/06-GRK10)",PW-15-00708345,GRK(W8486-151908/000/A),W8486-151908/06-GRK10,Active,2015-10-05,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2540 - Vehicular Furniture and Accessories, N2990 - Engine Accessories, Miscellaneous, Non-Aircraft, N3010 - Torque Converters and Speed Changers, N3040 - Power Transmission Equipment, Miscellaneous, N4720 - Hose and Flexible Tubing, N5120 - Hand Tools, Nonedged, Nonpowered, N5140 - Tools and Hardware Boxes, N5180 - Sets, Kits, and Outfits of Hand Tools, N5305 - Screws, N5310 - Nuts and Washers, N5315 - Nails, Keys and Pins, N5330 - Packing and Gasket Material, N5340 - Hardware, Commercial, N5360 - Coil, Flat and Wire Springs, N6110 - Electrical Control Equipment, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6230 - Electric Portable and Hand Lighting Equipment, N6650 - Optical Instruments, Test Equipment, Components and Accessories",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",JOWA Fahrzeugteile Vertriebs GmbH Altenburger Weg 5 34305 Niedenstein Germany,,
"LEOPARD 2, SPARE PARTS (W8486-151908/05-GRK10)",PW-15-00708344,GRK(W8486-151908/000/A),W8486-151908/05-GRK10,Active,2015-10-02,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2540 - Vehicular Furniture and Accessories, N2990 - Engine Accessories, Miscellaneous, Non-Aircraft, N3010 - Torque Converters and Speed Changers, N3040 - Power Transmission Equipment, Miscellaneous, N4720 - Hose and Flexible Tubing, N5120 - Hand Tools, Nonedged, Nonpowered, N5140 - Tools and Hardware Boxes, N5180 - Sets, Kits, and Outfits of Hand Tools, N5305 - Screws, N5310 - Nuts and Washers, N5315 - Nails, Keys and Pins, N5330 - Packing and Gasket Material, N5340 - Hardware, Commercial, N5360 - Coil, Flat and Wire Springs, N6110 - Electrical Control Equipment, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6230 - Electric Portable and Hand Lighting Equipment, N6650 - Optical Instruments, Test Equipment, Components and Accessories",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",FFG Flensburg Fahrzeugbau-Gesellschaft mbH Werftstr. 24 24939 Flensburg Germany,,
"LEOPARD 2, SPARE PARTS (W8486-151908/04-GRK10)",PW-15-00708343,GRK(W8486-151908/000/A),W8486-151908/04-GRK10,Active,2015-10-02,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2540 - Vehicular Furniture and Accessories, N2990 - Engine Accessories, Miscellaneous, Non-Aircraft, N3010 - Torque Converters and Speed Changers, N3040 - Power Transmission Equipment, Miscellaneous, N4720 - Hose and Flexible Tubing, N5120 - Hand Tools, Nonedged, Nonpowered, N5140 - Tools and Hardware Boxes, N5180 - Sets, Kits, and Outfits of Hand Tools, N5305 - Screws, N5310 - Nuts and Washers, N5315 - Nails, Keys and Pins, N5330 - Packing and Gasket Material, N5340 - Hardware, Commercial, N5360 - Coil, Flat and Wire Springs, N6110 - Electrical Control Equipment, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6230 - Electric Portable and Hand Lighting Equipment, N6650 - Optical Instruments, Test Equipment, Components and Accessories",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",Paar Logistik GmbH Stadtplatz 28 86551 Aichach Germany,,
"LEOPARD 2, SPARE PARTS (W8486-151908/03-GRK10)",PW-15-00708342,GRK(W8486-151908/000/A),W8486-151908/03-GRK10,Active,2015-10-02,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2540 - Vehicular Furniture and Accessories, N2990 - Engine Accessories, Miscellaneous, Non-Aircraft, N3010 - Torque Converters and Speed Changers, N3040 - Power Transmission Equipment, Miscellaneous, N4720 - Hose and Flexible Tubing, N5120 - Hand Tools, Nonedged, Nonpowered, N5140 - Tools and Hardware Boxes, N5180 - Sets, Kits, and Outfits of Hand Tools, N5305 - Screws, N5310 - Nuts and Washers, N5315 - Nails, Keys and Pins, N5330 - Packing and Gasket Material, N5340 - Hardware, Commercial, N5360 - Coil, Flat and Wire Springs, N6110 - Electrical Control Equipment, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6230 - Electric Portable and Hand Lighting Equipment, N6650 - Optical Instruments, Test Equipment, Components and Accessories",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",Global Logistics Support GmbH Pritzen – Ressener Weg 1 03229 Altdöbern Germany,,
"LEOPARD 2, SPARE PARTS (W8486-151908/02-GRK10)",PW-15-00708341,GRK(W8486-151908/000/A),W8486-151908/02-GRK10,Active,2015-10-02,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2540 - Vehicular Furniture and Accessories, N2990 - Engine Accessories, Miscellaneous, Non-Aircraft, N3010 - Torque Converters and Speed Changers, N3040 - Power Transmission Equipment, Miscellaneous, N4720 - Hose and Flexible Tubing, N5120 - Hand Tools, Nonedged, Nonpowered, N5140 - Tools and Hardware Boxes, N5180 - Sets, Kits, and Outfits of Hand Tools, N5305 - Screws, N5310 - Nuts and Washers, N5315 - Nails, Keys and Pins, N5330 - Packing and Gasket Material, N5340 - Hardware, Commercial, N5360 - Coil, Flat and Wire Springs, N6110 - Electrical Control Equipment, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6230 - Electric Portable and Hand Lighting Equipment, N6650 - Optical Instruments, Test Equipment, Components and Accessories",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",GENTAS GmbH Industrial Equipment Eulenthalerstr./Leyenhaus 29 51491 Overath-Eulenthal Germany,,
"LEOPARD 2, SPARE PARTS (W8486-151908/01-GRK10)",PW-15-00688035,GRK(W8486-151908/000/A),W8486-151908/01-GRK10,Active,2015-10-02,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2540 - Vehicular Furniture and Accessories, N2990 - Engine Accessories, Miscellaneous, Non-Aircraft, N3010 - Torque Converters and Speed Changers, N3040 - Power Transmission Equipment, Miscellaneous, N4720 - Hose and Flexible Tubing, N5120 - Hand Tools, Nonedged, Nonpowered, N5140 - Tools and Hardware Boxes, N5180 - Sets, Kits, and Outfits of Hand Tools, N5305 - Screws, N5310 - Nuts and Washers, N5315 - Nails, Keys and Pins, N5330 - Packing and Gasket Material, N5340 - Hardware, Commercial, N5360 - Coil, Flat and Wire Springs, N6110 - Electrical Control Equipment, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6230 - Electric Portable and Hand Lighting Equipment, N6650 - Optical Instruments, Test Equipment, Components and Accessories",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",Glückauf Logistik GmbH & Co. Postfach 41 04 03 34066 Kassel Germany,,
LEOPARD 2 - SPARE PARTS (W8486-152172/07-GRK10),PW-15-00708355,GRK(W8486-152172/000/A),W8486-152172/07-GRK10,Active,2015-10-28,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2530 - Vehicular Brake, Steering, Axle, Wheel and Track Components, N2540 - Vehicular Furniture and Accessories, N2910 - Engine Fuel System Components, Non-Aircraft, N2930 - Engine Cooling System Components, Non-Aircraft, N2940 - Engine Air and Oil Filters, Strainers and Cleaners, Non-Aircraft, N4210 - Fire Fighting Equipment, N4720 - Hose and Flexible Tubing, N4820 - Valves, Nonpowered, N5310 - Nuts and Washers, N5330 - Packing and Gasket Material, N5331 - O-Ring, N5340 - Hardware, Commercial, N5355 - Knobs and Pointers, N5360 - Coil, Flat and Wire Springs, N5365 - Bushings, Rings, Shims and Spacers, N5930 - Switches, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6685 - Pressure, Temperature and Humidity Measuring and Controlling Instruments",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",Krauss-Maffei Wegmann GmbH & Co. KG Krauss-Maffei-Straße 11 80997 München Germany,,
LEOPARD 2 - SPARE PARTS (W8486-152172/06-GRK10),PW-15-00708354,GRK(W8486-152172/000/A),W8486-152172/06-GRK10,Active,2015-09-22,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2530 - Vehicular Brake, Steering, Axle, Wheel and Track Components, N2540 - Vehicular Furniture and Accessories, N2910 - Engine Fuel System Components, Non-Aircraft, N2930 - Engine Cooling System Components, Non-Aircraft, N2940 - Engine Air and Oil Filters, Strainers and Cleaners, Non-Aircraft, N4210 - Fire Fighting Equipment, N4720 - Hose and Flexible Tubing, N4820 - Valves, Nonpowered, N5310 - Nuts and Washers, N5330 - Packing and Gasket Material, N5331 - O-Ring, N5340 - Hardware, Commercial, N5355 - Knobs and Pointers, N5360 - Coil, Flat and Wire Springs, N5365 - Bushings, Rings, Shims and Spacers, N5930 - Switches, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6685 - Pressure, Temperature and Humidity Measuring and Controlling Instruments",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca","Simex Defence Inc. 216 Brunswick Blvd Pointe Claire, Quebec H9R 1A6 Canada",,
LEOPARD 2 - SPARE PARTS (W8486-152172/05-GRK10),PW-15-00708353,GRK(W8486-152172/000/A),W8486-152172/05-GRK10,Active,2015-09-22,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2530 - Vehicular Brake, Steering, Axle, Wheel and Track Components, N2540 - Vehicular Furniture and Accessories, N2910 - Engine Fuel System Components, Non-Aircraft, N2930 - Engine Cooling System Components, Non-Aircraft, N2940 - Engine Air and Oil Filters, Strainers and Cleaners, Non-Aircraft, N4210 - Fire Fighting Equipment, N4720 - Hose and Flexible Tubing, N4820 - Valves, Nonpowered, N5310 - Nuts and Washers, N5330 - Packing and Gasket Material, N5331 - O-Ring, N5340 - Hardware, Commercial, N5355 - Knobs and Pointers, N5360 - Coil, Flat and Wire Springs, N5365 - Bushings, Rings, Shims and Spacers, N5930 - Switches, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6685 - Pressure, Temperature and Humidity Measuring and Controlling Instruments",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",ZF Friedrichshafen AG ST-ME 88038 Friedrichshafen Germany,,
LEOPARD 2 - SPARE PARTS (W8486-152172/04-GRK10),PW-15-00708352,GRK(W8486-152172/000/A),W8486-152172/04-GRK10,Active,2015-09-22,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2530 - Vehicular Brake, Steering, Axle, Wheel and Track Components, N2540 - Vehicular Furniture and Accessories, N2910 - Engine Fuel System Components, Non-Aircraft, N2930 - Engine Cooling System Components, Non-Aircraft, N2940 - Engine Air and Oil Filters, Strainers and Cleaners, Non-Aircraft, N4210 - Fire Fighting Equipment, N4720 - Hose and Flexible Tubing, N4820 - Valves, Nonpowered, N5310 - Nuts and Washers, N5330 - Packing and Gasket Material, N5331 - O-Ring, N5340 - Hardware, Commercial, N5355 - Knobs and Pointers, N5360 - Coil, Flat and Wire Springs, N5365 - Bushings, Rings, Shims and Spacers, N5930 - Switches, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6685 - Pressure, Temperature and Humidity Measuring and Controlling Instruments",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",ToKa Innovationen GmbH Schliekumer Straße 25 31157 Sarstedt Germany,,
LEOPARD 2 - SPARE PARTS (W8486-152172/03-GRK10),PW-15-00708351,GRK(W8486-152172/000/A),W8486-152172/03-GRK10,Active,2015-09-22,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2530 - Vehicular Brake, Steering, Axle, Wheel and Track Components, N2540 - Vehicular Furniture and Accessories, N2910 - Engine Fuel System Components, Non-Aircraft, N2930 - Engine Cooling System Components, Non-Aircraft, N2940 - Engine Air and Oil Filters, Strainers and Cleaners, Non-Aircraft, N4210 - Fire Fighting Equipment, N4720 - Hose and Flexible Tubing, N4820 - Valves, Nonpowered, N5310 - Nuts and Washers, N5330 - Packing and Gasket Material, N5331 - O-Ring, N5340 - Hardware, Commercial, N5355 - Knobs and Pointers, N5360 - Coil, Flat and Wire Springs, N5365 - Bushings, Rings, Shims and Spacers, N5930 - Switches, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6685 - Pressure, Temperature and Humidity Measuring and Controlling Instruments",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",Global Logistics Support GmbH Pritzen – Ressener Weg 1 03229 Altdöbern Germany,,
LEOPARD 2 - SPARE PARTS (W8486-152172/02-GRK10),PW-15-00708350,GRK(W8486-152172/000/A),W8486-152172/02-GRK10,Active,2015-09-22,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2530 - Vehicular Brake, Steering, Axle, Wheel and Track Components, N2540 - Vehicular Furniture and Accessories, N2910 - Engine Fuel System Components, Non-Aircraft, N2930 - Engine Cooling System Components, Non-Aircraft, N2940 - Engine Air and Oil Filters, Strainers and Cleaners, Non-Aircraft, N4210 - Fire Fighting Equipment, N4720 - Hose and Flexible Tubing, N4820 - Valves, Nonpowered, N5310 - Nuts and Washers, N5330 - Packing and Gasket Material, N5331 - O-Ring, N5340 - Hardware, Commercial, N5355 - Knobs and Pointers, N5360 - Coil, Flat and Wire Springs, N5365 - Bushings, Rings, Shims and Spacers, N5930 - Switches, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6685 - Pressure, Temperature and Humidity Measuring and Controlling Instruments",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",G. Langkopf Maschinenbau Postfach 25 01 64 40093 Düsseldorf Germany,,
LEOPARD 2 - SPARE PARTS (W8486-152172/01-GRK10),PW-15-00680125,GRK(W8486-152172/000/A),W8486-152172/01-GRK10,Active,2015-09-22,2015-11-12,"N1015 - Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship, N2510 - Vehicular Cab, Body and Frame Structural Components, N2530 - Vehicular Brake, Steering, Axle, Wheel and Track Components, N2540 - Vehicular Furniture and Accessories, N2910 - Engine Fuel System Components, Non-Aircraft, N2930 - Engine Cooling System Components, Non-Aircraft, N2940 - Engine Air and Oil Filters, Strainers and Cleaners, Non-Aircraft, N4210 - Fire Fighting Equipment, N4720 - Hose and Flexible Tubing, N4820 - Valves, Nonpowered, N5310 - Nuts and Washers, N5330 - Packing and Gasket Material, N5331 - O-Ring, N5340 - Hardware, Commercial, N5355 - Knobs and Pointers, N5360 - Coil, Flat and Wire Springs, N5365 - Bushings, Rings, Shims and Spacers, N5930 - Switches, N6150 - Miscellaneous Electric Power and Distribution Equipment, N6685 - Pressure, Temperature and Humidity Measuring and Controlling Instruments",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",SDLE S.L. Star Defence Logistics and Engineering Antigua Carretera de Extremadura Km 20.8000 28935 Móstoles Spain,,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-167968/01-GRK10),PW-15-00688818,GRK(W8482-167968/000/A),W8482-167968/01-GRK10,Active,2015-10-02,2015-11-12,N4460 - Air Purification Equipment,,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca","Bryant Symons Technologies Ltd. Unit 4B Gunby Road Industrial Estate Grantham, Lincolnshire, NG33 5RD United Kingdom",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-168029/01-GRK10),PW-15-00694561,GRK(W8482-168029/000/A),W8482-168029/01-GRK10,Active,2015-10-02,2015-11-12,"N4810 - Valves, Powered",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca","Source Atlantic Limited Operating as Mobile Valve 140 Highway #1 Mount Uniacke, Nova Scotia BON 1Z0 Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-167945/02-GRK10),PW-15-00708361,GRK(W8482-167945/000/A),W8482-167945/02-GRK10,Active,2015-11-03,2015-11-12,"N4720 - Hose and Flexible Tubing, N5307 - Studs, N5330 - Packing and Gasket Material",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca","JHT Defense Inc. 2273 Guenette St. Laurent, Quebec H4R 2E9 Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-167945/01-GRK10),PW-15-00688817,GRK(W8482-167945/000/A),W8482-167945/01-GRK10,Active,2015-11-03,2015-11-12,"N4720 - Hose and Flexible Tubing, N5307 - Studs, N5330 - Packing and Gasket Material",,Open,"Pekrul, Sonja +49 261-98252-25 Public Works and Government Services Canada Mayener Strasse 87 D-56070 Koblenz, Germany sonja.pekrul@tpsgc-pwgsc.gc.ca",Global Logistics Support GmbH Pritzen – Ressener Weg 1 03229 Altdöbern Germany,,
