title,reference_number,solicitation_number,contract_number,publishing_status,award_date,publication_date,gsin,contract_award_procedure,tendering_procedure,customer_info,supplier_info,currency,contract_value
Library Subscriptions (0D160-144159/001/PI),PW-$$PI-008-64945,0D160-144159/A,0D160-144159/001/PI,Active,2014-03-28,2014-04-01,R107B - Library Subscriptions,Exclusive Rights,,PUBLIC SAFETY AND EMERGENCY PREPAREDNESS CANADA 269 LAURIER AVE. W OTTAWA ON K1A0P8 CAN,OXFORD ANALYTICA INC. 405 Lexington Ave. Suite 54B New York New York 10174 United States,USD,51800.00
Information Products (K1A12-139080/001/PI),PW-$$PI-008-64953,K1A12-139080/A,K1A12-139080/001/PI,Active,2014-03-31,2014-04-01,D317E - Information Products,Exclusive Rights,,ENVIRONMENT CANADA 24TH FL. 10 WELLINGTON ST GATINEAU QC K1A0H3 CAN,RISI Inc. 4 Alfred Circle Bedford Massachusetts 01730 United States,USD,25000.00
Optical Sighting and Ranging Equipment (W8486-140583/001/QF),PW-$$QF-091-24412,W8486-140583,W8486-140583/001/QF,Active,2014-03-31,2014-04-01,N1240 - Optical Sighting and Ranging Equipment,Exclusive Rights,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Vectronix AG Max-Schmidheiney-Strasse 202 Heerbrugg CH-9435 Switzerland,CHF,192710.33
WEAPON ALIGNMENT SYSTEMS (W8482-115514/001/QF),PW-$$QF-101-23948,W8482-115514/C,W8482-115514/001/QF,Active,2014-03-20,2014-04-01,"N4931 - Fire Control Maintenance and Repair Shop Specialized Equipment, Unless Installed in a Vehicle, Aircraft, or Ship",Best Overall Proposal,,DEPARTMENT OF NATIONAL DEFENCE ATTN DGMEPM NP - DMARP 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Electronics Measurement Systems Ltd 140 Faversham Weymouth DT4 9SL,GBP,458145.50
ADP Software (W8484-148159/001/EEM),PW-$EEM-013-27497,W8484-148159,W8484-148159/001/EEM,Active,2014-03-31,2014-04-01,N7030 - ADP Software,Exclusive Rights,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Gibraltar Solutions Inc. 55 murray st#340 ottawa Ontario K1N5M3 Canada,USD,76809.74
ADP Software (59017-140064/001/EEM),PW-$EEM-039-27488,59017-140064,59017-140064/001/EEM,Active,2014-03-31,2014-04-01,N7030 - ADP Software,Exclusive Rights,,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS KENT SQ.13TH FL. 255 ALBERT ST OTTAWA ON K1A0H2 CAN,FrontRange Solutions USA Inc. 490 N McCarthy Blvd. #100 Milpitas California 95035 United States,USD,44838.22
ADP Software (W2037-140054/001/MCT),PW-$MCT-018-4819,W2037-140054,W2037-140054/001/MCT,Active,2014-03-31,2014-04-01,N7030 - ADP Software,Exclusive Rights,,"DEPARTMENT OF NATIONAL DEFENCE BLDG H16, RM 312 P.O.BOX 17000 STN FORCES OROMOCTO NB E2V4J5 CAN","EMC CORPORATION OF CANADA EMC Corporation of Canada 555 legget Drive Tower B, Suite 400 Kanata Ontario K2K2X3 Canada",USD,39033.66
ADP Software Maintenance - Other than Microcomputer (W7701-145860/001/QCW),PW-$QCW-022-15888,W7701-145860,W7701-145860/001/QCW,Active,2014-03-31,2014-04-01,JX7030 - ADP Software Maintenance - Other than Microcomputer,Exclusive Rights,,DEPARTMENT OF NATIONAL DEFENCE BATIMENT 65 2459 BLVD PIE XI NORD C.P.8800 VAL BELAIR QC G3J1X5 CAN,THE MATH WORKS INC 3 APPLE HILL DRIVE NATICK Massachusetts 017602098 United States,USD,83250.04
ADP Software (W8474-14BH07/001/XQ),PW-$$XQ-002-27472,W8474-14BH07,W8474-14BH07/001/XQ,Active,2014-03-28,2014-03-31,N7030 - ADP Software,Exclusive Rights,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DRIVE OTTAWA ON K1A0K2 CAN,"OQ MEASURES, LLC PO Box 521047 Salt Lake City Utah 841521047 United States",USD,440813.09
ADP Software (U6510-142273/001/EEM),PW-$EEM-013-27468,U6510-142273,U6510-142273/001/EEM,Active,2014-03-28,2014-03-31,N7030 - ADP Software,Exclusive Rights,,"INDUSTRY CANADA CLIENT SERVICES BRANCH 329C-235 QUEEN ST., 3RD FL, EAST OTTAWA ON K1A0H5 CAN",FrontRange Solutions USA Inc. 490 N McCarthy Blvd. #100 Milpitas California 95035 United States,USD,28926.82
ADP Software (B8217-140580/001/XL),PW-$$XL-106-27435,B8217-140580,B8217-140580/001/XL,Active,2014-03-27,2014-03-28,N7030 - ADP Software,Exclusive Rights,,CITIZENSHIP AND IMMIGRATION CANADA JETN 3RD FL. 300 SLATER ST OTTAWA ON K1A1L1 CAN,Embarcadero Technologies Inc. 100 California Street 12th Floor San Francisco California 94111 United States,USD,66160.37
ADP Software Maintenance - Other than Microcomputer (W010X-14A044/001/HAL),PW-$HAL-218-9241,W010X-14A044,W010X-14A044/001/HAL,Active,2014-03-27,2014-03-28,JX7030 - ADP Software Maintenance - Other than Microcomputer,Exclusive Rights,,"DEPARTMENT OF NATIONAL DEFENCE SERVICE CONTRACTS-BASE LOGISTICS PO BOX 99000, STN FORCES HALIFAX NS B3K5X5 CAN","BAE SYSTEMS Australia Limited 40 River Boulevard, Richmond Victoria 3121 Australia",AUD,304006.00
Spare Parts for the Leopard II (W8486-149601/001/BL),PW-$$BL-297-24180,W8486-149601/B,W8486-149601/001/BL,Active,2014-03-26,2014-03-27,N5331 - O-Ring,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,August Schröder Maschinenbau GmbH Postfach 120543 Remscheid 42875 Germany,EUR,650.00
Spare Parts for the Leopard II (W8486-149601/004/BL),PW-$$BL-297-24180,W8486-149601/B,W8486-149601/004/BL,Active,2014-03-26,2014-03-27,N5331 - O-Ring,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,"HERKULES FAHRZEUGLOGISTIK LANDGRAF-KARL-STR 34131 KASSEL, GERMANY KASSEL Germany",EUR,319.95
Spare Parts for the Leopard II (W8486-149601/003/BL),PW-$$BL-297-24180,W8486-149601/B,W8486-149601/003/BL,Active,2014-03-26,2014-03-27,N5331 - O-Ring,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,GLOBAL LOGISTICS SUPPORT GmbH RESSENER WEG 1 ALTDOEBERN 03229 Germany,EUR,4218.15
Spare Parts for the Leopard II (W8486-149601/002/BL),PW-$$BL-297-24180,W8486-149601/B,W8486-149601/002/BL,Active,2014-03-26,2014-03-27,N5331 - O-Ring,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Comercial Hernando Moreno Cohemo S.L. C/Puerto de Navacerrada 88 Poligono Industrial Las Nieves Mostoles (Madrid) 28935 Spain,EUR,814.00
Spare Parts for the Leopard II (W8486-149601/014/BL),PW-$$BL-297-24180,W8486-149601/B,W8486-149601/014/BL,Active,2014-03-26,2014-03-27,N5331 - O-Ring,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,ToKa Innovationen GmbH Schliekumer Strasse 25 Sarstedt 31157 Germany,EUR,204.00
Spare Parts for the Leopard II (W8486-149601/012/BL),PW-$$BL-297-24180,W8486-149601/B,W8486-149601/012/BL,Active,2014-03-26,2014-03-27,N5331 - O-Ring,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,"SUMINISTROS Y FABRICACIONES DEL AUTOMOVIL S.L. C/RONDA DE PONIENTE, 1A POL.IND.PELAGATOS CHICLANA DE LA FRONTERA (CADIZ) 11130 Spain",EUR,627.42
Spare Parts for the Leopard II (W8486-149601/010/BL),PW-$$BL-297-24180,W8486-149601/B,W8486-149601/010/BL,Active,2014-03-26,2014-03-27,N5331 - O-Ring,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,SDLE S.L. Antigua Carretera de Extremadura Km 20.800 Móstoles 28935 Spain,EUR,5535.49
Spare Parts for the Leopard II (W8486-149601/009/BL),PW-$$BL-297-24180,W8486-149601/B,W8486-149601/009/BL,Active,2014-03-26,2014-03-27,N5331 - O-Ring,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,PAAR LOGISTIK GMBH Stadtplatz 28 AICHACH D-86551 GERMANY,EUR,1907.00
Spare Parts for the Leopard II (W8486-149601/008/BL),PW-$$BL-297-24180,W8486-149601/B,W8486-149601/008/BL,Active,2014-03-26,2014-03-27,N5331 - O-Ring,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Rheinmetall Landsysteme Gmbh Heinrich-Ehrhardt-Str. 2 Unterluess 29345 Germany,EUR,482.50
ADP Software (45045-130126/001/EE),PW-$$EE-032-27417,45045-130126,45045-130126/001/EE,Active,2014-03-26,2014-03-27,N7030 - ADP Software,Exclusive Rights,,STATISTICS CANADA MAIN BLDG RM 1405 150 TUNNEYS PASTURE OTTAWA ON K1A0T6 CAN,Red Gate Software Ltd 1st & 2nd Floors Newnham House Cambridge Business Park Cambridge CB40WZ United Kingdom,USD,190564.15
Information Products (EN519-142692/001/PI),PW-$$PI-008-64920,EN519-142692/A,EN519-142692/001/PI,Active,2014-03-25,2014-03-27,D317E - Information Products,Exclusive Rights,,PUBLIC WORKS AND GOVERNMENT SERVICES CANADA PORTAGE III 2B2 11 LAURIER ST Gatineau QC K1A0S5 CAN,"getAbstract, Inc. One Aventura 20900 NE 30th. Ave. #315 Aventura Florida 33180 United States",USD,40241.25
Operation Training Devices (31184-134105/001/QF),PW-$$QF-106-24399,31184-134105/A,31184-134105/001/QF,Active,2013-11-01,2014-03-27,N6930 - Operation Training Devices,Interchangeable Parts,,NATIONAL RESEARCH COUNCIL CANADA BLDG M-22 MONTREAL RD OTTAWA ON K1A0R6 CAN,"Stirling Dynamics, LTD USA Office - Orlando, FL. 3259 Progress Drive, Ste. 159 Orlando Florida 32826 United States",USD,36506.75
OCEANOGRAPHIC INSTRUMENTS (KW405-131363/001/TOR),PW-$TOR-009-6576,KW405-131363,KW405-131363/001/TOR,Active,2014-03-24,2014-03-27,N6655F - OCEANOGRAPHIC INSTRUMENTS,Interchangeable Parts,,ENVIRONMENT CANADA 867 LAKESHORE RD  P.O.BOX 5050 BURLINGTON ON L7R4A6 CAN,"Sea-Bird Electronics, Inc. 13431 NE 20th St. Bellevue Washington 98005 United States",USD,88330.92
Aircraft Maintenance and Repair Shop Specialized Equipment (W8485-142158/001/BB),PW-$$BB-237-24394,W8485-142158/A,W8485-142158/001/BB,Active,2014-03-25,2014-03-26,N4920 - Aircraft Maintenance and Repair Shop Specialized Equipment,Exclusive Rights,,DEPARTMENT OF NATIONAL DEFENCE DGAEPM 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,"Aerospace Control Products, Inc. 1314 W 76th Street Davenport Iowa 52806-1305 United States",USD,59600.00
Seaking Helicopter spares (W8485-142215/001/BY),PW-$$BY-281-24200,W8485-142215/A,W8485-142215/001/BY,Active,2014-03-25,2014-03-26,N6220 - Electric Vehicular Lights and Fixtures,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE DGAEPM 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Unisource Technology Inc Unisource Technology Inc. 9010 Ryan Avenue Montreal Quebec H9P2M8 Canada,USD,29269.19
ADP Software (F2934-130239/001/EE),PW-$$EE-027-27402,F2934-130239,F2934-130239/001/EE,Active,2014-03-25,2014-03-26,N7030 - ADP Software,Exclusive Rights,,FISHERIES AND OCEANS CANADA CCIW 867 LAKESHORE ROAD BURLINGTON ON L7R4A6 CAN,THE MATH WORKS INC 3 APPLE HILL DRIVE NATICK Massachusetts 017602098 United States,USD,80871.45
Information Products (08324-130480/001/PI),PW-$$PI-008-64917,08324-130480/A,08324-130480/001/PI,Active,2014-03-25,2014-03-26,D317E - Information Products,Exclusive Rights,,"FOREIGN AFFAIRS AND INTERNATIONAL TRADE, DEPARTMENT OF LB PEARSON BLDG TWR D2 125 SUSSEX DR. OTTAWA ON K1A0G2 CAN","Global Trade Information Services, Inc 2218 Devine Street Columbia South Carolina 29205 United States",USD,113000.00
ADP Software (A0416-134431/001/XL),PW-$$XL-120-27397,A0416-134431,A0416-134431/001/XL,Active,2014-03-25,2014-03-26,N7030 - ADP Software,Exclusive Rights,,ABORIGINAL AFFAIRS & NORTHERN DEVELOPMENT CANADA 7TH FL. 10 WELLINGTON ST Gatineau QC K1A0H4 CAN,AccessData Group LLC 588 West 400 South #350 Lindon Utah 84042 United States,USD,78750.00
ADP Software (W7707-145748/001/HAL),PW-$HAL-218-9240,W7707-145748,W7707-145748/001/HAL,Active,2014-03-25,2014-03-26,N7030 - ADP Software,Exclusive Rights,,DEPARTMENT OF NATIONAL DEFENCE P.O.BOX 1012 DARTMOUTH NS B2Y3Z7 CAN,"COMSOL, INC. 1 New England Executive Park Suite 350 Burlington Massachusetts 01803 United States",USD,44960.00
"INDICATOR, LIQUID LEVEL, ELECTRONIC (CAPACITANCE, CONDUCTANCE,  IMPEDANCE) (01804-140376/002/HAL)",PW-$HAL-219-9239,01804-140376,01804-140376/002/HAL,Active,2014-03-25,2014-03-26,"N6680FD - INDICATOR, LIQUID LEVEL, ELECTRONIC (CAPACITANCE, CONDUCTANCE, IMPEDANCE)",Lowest/Lower Bid,,AGRICULTURE AND AGRI-FOOD CANADA RESEARCH STN KENTVILLE NS B4N1J5 CAN,"K&R Technologies, LLC 5111 Pegasus Court Suite H Frederick Maryland 23117 United States",USD,86529.45
PROTEIN DNA/RNA SEQUENCERS (6D063-133254/001/WPG),PW-$WPG-108-8941,6D063-133254,6D063-133254/001/WPG,Active,2014-03-25,2014-03-26,N6640220 - PROTEIN DNA/RNA SEQUENCERS,Exclusive Rights,,PUBLIC HEALTH AGENCY OF CANADA 1015 ARLINGTON ST WINNIPEG MB R3E3P6 CAN,"Illumina Canada, Inc. 5200 Illumina Way San Diego California 92122 United States",USD,74005.00
ADP Software (87055-130413/001/EE),PW-$$EE-027-27375,87055-130413,87055-130413/001/EE,Active,2014-03-24,2014-03-25,N7030 - ADP Software,Exclusive Rights,,CANADIAN NUCLEAR SAFETY COMMISSION 3RD FL. 280 SLATER ST STN B PO BX 1046 OTTAWA ON K1P5S9 CAN,"COMSOL, INC. 1 New England Executive Park Suite 350 Burlington Massachusetts 01803 United States",USD,36362.00
ADP Software (31184-137382/001/EE),PW-$$EE-037-27363,31184-137382,31184-137382/001/EE,Active,2014-03-21,2014-03-24,N7030 - ADP Software,Exclusive Rights,,NATIONAL RESEARCH COUNCIL CANADA BLDG M-22 MONTREAL RD OTTAWA ON K1A0R6 CAN,ESI NORTH AMERICA 32605 W 12 Mile Rd Farmington Hills Michigan 48304 United States,USD,87480.00
PASSENGER MOTOR VEHICLES - RENTAL (W8484-148123/001/LP),PW-$$LP-003-64904,W8484-148123/B,W8484-148123/001/LP,Active,2014-03-21,2014-03-24,WR2310 - PASSENGER MOTOR VEHICLES - RENTAL,Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,"EAN Holdings, LLC 544 Ohohia St. Honolulu Hawaii 96819 United States",USD,601730.02
Information Products (08324-130430/001/PI),PW-$$PI-008-64906,08324-130430/A,08324-130430/001/PI,Active,2014-03-21,2014-03-24,D317E - Information Products,Exclusive Rights,,"FOREIGN AFFAIRS AND INTERNATIONAL TRADE, DEPARTMENT OF LB PEARSON BLDG TWR D2 125 SUSSEX DR. OTTAWA ON K1A0G2 CAN",The Economist Intelligence Unit 750 Third Avenue 5th Floor New York New York 10017 United States,USD,259076.23
ADP Software (W7714-145956/001/XL),PW-$$XL-119-27369,W7714-145956,W7714-145956/001/XL,Active,2014-03-21,2014-03-24,N7030 - ADP Software,Exclusive Rights,,DEPARTMENT OF NATIONAL DEFENCE BLDG 29 RECEIVING 3701 CARLING AVE OTTAWA ON K1A0Z4 CAN,"PRICE Systems L.L.C. 17000 Commerce Parkway, Suite A Mount Laurel New Jersey 08054 United States",USD,103306.94
ADP Software (31034-135676/001/VAN),PW-$VAN-585-7226,31034-135676/A,31034-135676/001/VAN,Active,2014-03-21,2014-03-24,N7030 - ADP Software,Exclusive Rights,,NATIONAL RESEARCH COUNCIL CANADA 5071 WEST SAANICH RD VICTORIA BC V9E2E7 CAN,Agilent Technologies Canada Inc. Malton CSC P.O. Box 249 Mississauga Ontario L4T3B6 Canada,USD,31200.82
SPARE PARTS FOR THE LEOPARD II (W8486-149565/002/BL),PW-$$BL-265-24174,W8486-149565/A,W8486-149565/002/BL,Active,2014-03-20,2014-03-21,"N2510 - Vehicular Cab, Body and Frame Structural Components",Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,FFG Flensburger Fahrzeugbau Gesellschaft mbH thorsten.peter@ffg-flensburg.de joerg.kamper@ffg-flensburg.de Flensburg 24939 Germany,EUR,17880.00
SPARE PARTS FOR THE LEOPARD II (W8486-149565/001/BL),PW-$$BL-265-24174,W8486-149565/A,W8486-149565/001/BL,Active,2014-03-20,2014-03-21,"N2510 - Vehicular Cab, Body and Frame Structural Components",Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,August Schröder Maschinenbau GmbH Postfach 120543 Remscheid 42875 Germany,EUR,16920.40
SPARE PARTS FOR THE LEOPARD II (W8486-149565/012/BL),PW-$$BL-265-24174,W8486-149565/A,W8486-149565/012/BL,Active,2014-03-20,2014-03-21,"N2510 - Vehicular Cab, Body and Frame Structural Components",Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,"SUMINISTROS Y FABRICACIONES DEL AUTOMOVIL S.L. C/RONDA DE PONIENTE, 1A POL.IND.PELAGATOS CHICLANA DE LA FRONTERA (CADIZ) 11130 Spain",EUR,1290.00
SPARE PARTS FOR THE LEOPARD II (W8486-149565/011/BL),PW-$$BL-265-24174,W8486-149565/A,W8486-149565/011/BL,Active,2014-03-20,2014-03-21,"N2510 - Vehicular Cab, Body and Frame Structural Components",Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,SDLE S.L. Antigua Carretera de Extremadura Km 20.800 Móstoles 28935 Spain,EUR,12311.90
SPARE PARTS FOR THE LEOPARD II (W8486-149565/010/BL),PW-$$BL-265-24174,W8486-149565/A,W8486-149565/010/BL,Active,2014-03-20,2014-03-21,"N2510 - Vehicular Cab, Body and Frame Structural Components",Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Rheinmetall Landsysteme GmbH Heinrich-Ehrhardt-Straße 2 Unterlüß D-29345 Germany,EUR,1006.50
SPARE PARTS FOR THE LEOPARD II (W8486-149565/009/BL),PW-$$BL-265-24174,W8486-149565/A,W8486-149565/009/BL,Active,2014-03-20,2014-03-21,"N2510 - Vehicular Cab, Body and Frame Structural Components",Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,PAAR LOGISTIK GMBH Stadtplatz 28 AICHACH D-86551 GERMANY,EUR,918.60
SPARE PARTS FOR THE LEOPARD II (W8486-149565/008/BL),PW-$$BL-265-24174,W8486-149565/A,W8486-149565/008/BL,Active,2014-03-20,2014-03-21,"N2510 - Vehicular Cab, Body and Frame Structural Components",Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,GUNTER LANGKOPF HARFFSTR.36 DUSSELDORF 40591 Germany,EUR,12427.60
SPARE PARTS FOR THE LEOPARD II (W8486-149565/007/BL),PW-$$BL-265-24174,W8486-149565/A,W8486-149565/007/BL,Active,2014-03-20,2014-03-21,"N2510 - Vehicular Cab, Body and Frame Structural Components",Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,JOWA                          FAHRZEUGTEILE-VERTRIEBS GMBH ALTENBURGER WEG 5 D-34305 NIEDENSTEIN Germany,EUR,5575.60
SPARE PARTS FOR THE LEOPARD II (W8486-149565/005/BL),PW-$$BL-265-24174,W8486-149565/A,W8486-149565/005/BL,Active,2014-03-20,2014-03-21,"N2510 - Vehicular Cab, Body and Frame Structural Components",Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,"HERKULES FAHRZEUGLOGISTIK LANDGRAF-KARL-STR 34131 KASSEL, GERMANY KASSEL Germany",EUR,9032.78
SPARE PARTS FOR THE LEOPARD II (W8486-149565/004/BL),PW-$$BL-265-24174,W8486-149565/A,W8486-149565/004/BL,Active,2014-03-20,2014-03-21,"N2510 - Vehicular Cab, Body and Frame Structural Components",Lowest/Lower Bid,,DEPARTMENT OF NATIONAL DEFENCE 101 COLONEL BY DR. OTTAWA ON K1A0K2 CAN,Global Logistics Support GmbH Parkring 13 85748 Garching Germany,EUR,5089.90
